date;heure;phase;equipe1;equipe2;prono;score_predit;confiance_pct;score_reel;verdict;score_exact;horodatage_prono
2026-06-11;21:00;Matchday 1;Mexico;South Africa;1;2-1;64;;en attente;;2026-06-11T19:34:09.855Z
2026-06-11;04:00;Matchday 1;South Korea;Czech Republic;1;2-1;42;;en attente;;2026-06-11T19:34:09.858Z
